DATE,NASDAQ100
7/31/2009,1603.36
8/3/2009,1628.12
8/4/2009,1628.49
8/5/2009,1614.44
8/6/2009,1600.29
8/7/2009,1619.49
8/10/2009,1610.43
8/11/2009,1594.69
8/12/2009,1619.59
8/13/2009,1628.65
8/14/2009,1611.58
8/17/2009,1564.89
8/18/2009,1586.5
8/19/2009,1596.61
8/20/2009,1614.22
8/21/2009,1637.78
8/24/2009,1634.78
8/25/2009,1639.9
8/26/2009,1637
8/27/2009,1640.97
8/28/2009,1643.24
8/31/2009,1625.19
9/1/2009,1595.84
9/2/2009,1594.28
9/3/2009,1605.98
9/4/2009,1638.07
9/7/2009,.
9/8/2009,1654.81
9/9/2009,1669.23
9/10/2009,1686.16
9/11/2009,1685.46
9/14/2009,1693.76
9/15/2009,1699.53
9/16/2009,1723.73
9/17/2009,1721.09
9/18/2009,1725.24
9/21/2009,1731.58
9/22/2009,1734.09
9/23/2009,1724.27
9/24/2009,1709.76
9/25/2009,1694.15
9/28/2009,1724.59
9/29/2009,1717.67
9/30/2009,1718.99
10/1/2009,1666.41
10/2/2009,1662.49
10/5/2009,1675.64
10/6/2009,1705.25
10/7/2009,1710.45
10/8/2009,1717.79
10/9/2009,1727.76
10/12/2009,1729.63
10/13/2009,1730.27
10/14/2009,1754.26
10/15/2009,1753.36
10/16/2009,1739.32
10/19/2009,1756.68
10/20/2009,1756.19
10/21/2009,1753.56
10/22/2009,1763.15
10/23/2009,1753.63
10/26/2009,1746.75
10/27/2009,1720.97
10/28/2009,1682.06
10/29/2009,1711.27
10/30/2009,1667.13
11/2/2009,1672.91
11/3/2009,1679.2
11/4/2009,1680.67
11/5/2009,1721.09
11/6/2009,1730.76
11/9/2009,1768.4
11/10/2009,1773.17
11/11/2009,1782.95
11/12/2009,1773.14
11/13/2009,1788.61
11/16/2009,1807.56
11/17/2009,1812.21
11/18/2009,1801.74
11/19/2009,1773.19
11/20/2009,1764.39
11/23/2009,1792.94
11/24/2009,1786.25
11/25/2009,1793.67
11/26/2009,.
11/27/2009,1765.46
11/30/2009,1767.43
12/1/2009,1787.71
12/2/2009,1790.82
12/3/2009,1782.91
12/4/2009,1791.91
12/7/2009,1783.65
12/8/2009,1772.73
12/9/2009,1789.7
12/10/2009,1799.37
12/11/2009,1792.06
12/14/2009,1809.09
12/15/2009,1798.21
12/16/2009,1800.82
12/17/2009,1778.27
12/18/2009,1807.36
12/21/2009,1828.79
12/22/2009,1839.51
12/23/2009,1851.99
12/24/2009,1869.84
12/25/2009,.
12/28/2009,1878.18
12/29/2009,1872.02
12/30/2009,1878.65
12/31/2009,1860.31
1/1/2010,.
1/4/2010,1886.7
1/5/2010,1888.43
1/6/2010,1878.42
1/7/2010,1876.72
1/8/2010,1892.59
1/11/2010,1886.24
1/12/2010,1861.79
1/13/2010,1886.13
1/14/2010,1886.52
1/15/2010,1864.52
1/18/2010,.
1/19/2010,1895.48
1/20/2010,1867.95
1/21/2010,1850.57
1/22/2010,1794.82
1/25/2010,1802.39
1/26/2010,1803.86
1/27/2010,1818.9
1/28/2010,1771.1
1/29/2010,1741.04
2/1/2010,1760.72
2/2/2010,1776.92
2/3/2010,1784.7
2/4/2010,1732.99
2/5/2010,1746.12
2/8/2010,1734.88
2/9/2010,1753.84
2/10/2010,1749.76
2/11/2010,1775.74
2/12/2010,1779.11
2/15/2010,.
2/16/2010,1802.06
2/17/2010,1810.86
2/18/2010,1823.39
2/19/2010,1823.32
2/22/2010,1817.63
2/23/2010,1793.82
2/24/2010,1812.51
2/25/2010,1812.91
2/26/2010,1818.68
3/1/2010,1846.4
3/2/2010,1851.21
3/3/2010,1851.57
3/4/2010,1859.72
3/5/2010,1888.56
3/8/2010,1890.89
3/9/2010,1901.38
3/10/2010,1917.35
3/11/2010,1923.81
3/12/2010,1924.43
3/15/2010,1920.09
3/16/2010,1932.24
3/17/2010,1936.22
3/18/2010,1943.94
3/19/2010,1932.43
3/22/2010,1949.59
3/23/2010,1963.2
3/24/2010,1951.84
3/25/2010,1949.15
3/26/2010,1952.63
3/29/2010,1961.22
3/30/2010,1967.96
3/31/2010,1958.34
4/1/2010,1959.56
4/2/2010,.
4/5/2010,1977.83
4/6/2010,1981.95
4/7/2010,1977.3
4/8/2010,1980.73
4/9/2010,1994.43
4/12/2010,1995.65
4/13/2010,2003.81
4/14/2010,2028.82
4/15/2010,2038.64
4/16/2010,2012.84
4/19/2010,2013.53
4/20/2010,2023.6
4/21/2010,2034.53
4/22/2010,2045.16
4/23/2010,2055.33
4/26/2010,2049.09
4/27/2010,2006.25
4/28/2010,2007.59
4/29/2010,2042.89
4/30/2010,2000.63
5/3/2010,2031.6
5/4/2010,1968.97
5/5/2010,1958.26
5/6/2010,1903.47
5/7/2010,1849.44
5/10/2010,1942.61
5/11/2010,1940.48
5/12/2010,1975.58
5/13/2010,1945.52
5/14/2010,1907.1
5/17/2010,1915.45
5/18/2010,1887.06
5/19/2010,1873.42
5/20/2010,1800.12
5/21/2010,1822.77
5/24/2010,1815.28
5/25/2010,1815.68
5/26/2010,1796.47
5/27/2010,1862.71
5/28/2010,1852.39
5/31/2010,.
6/1/2010,1835.04
6/2/2010,1879.59
6/3/2010,1895.66
6/4/2010,1832.04
6/7/2010,1798.16
6/8/2010,1795.7
6/9/2010,1778.92
6/10/2010,1830.09
6/11/2010,1847.15
6/14/2010,1845.48
6/15/2010,1897.48
6/16/2010,1905.31
6/17/2010,1910.65
6/18/2010,1913.48
6/21/2010,1895.84
6/22/2010,1880.54
6/23/2010,1874.42
6/24/2010,1844.59
6/25/2010,1838.52
6/28/2010,1836
6/29/2010,1764.06
6/30/2010,1739.14
7/1/2010,1734.41
7/2/2010,1728.34
7/5/2010,.
7/6/2010,1734.68
7/7/2010,1789.72
7/8/2010,1798.31
7/9/2010,1814.79
7/12/2010,1821.03
7/13/2010,1845.03
7/14/2010,1853.41
7/15/2010,1856.24
7/16/2010,1803.48
7/19/2010,1819.28
7/20/2010,1840.67
7/21/2010,1817.3
7/22/2010,1863.1
7/23/2010,1875.38
7/26/2010,1890.4
7/27/2010,1888.81
7/28/2010,1872.62
7/29/2010,1860.3
7/30/2010,1864
8/2/2010,1898.99
8/3/2010,1891.81
8/4/2010,1909.2
8/5/2010,1904.95
8/6/2010,1902.88
8/9/2010,1915.17
8/10/2010,1899.24
8/11/2010,1845.38
8/12/2010,1832.17
8/13/2010,1818.8
8/16/2010,1821.51
8/17/2010,1845.37
8/18/2010,1850.8
8/19/2010,1823
8/20/2010,1825.75
8/23/2010,1808.31
8/24/2010,1775.27
8/25/2010,1790.88
8/26/2010,1769.02
8/27/2010,1791.64
8/30/2010,1772.07
8/31/2010,1767.43
9/1/2010,1820.05
9/2/2010,1840.58
9/3/2010,1870.31
9/6/2010,.
9/7/2010,1856.5
9/8/2010,1880
9/9/2010,1886.14
9/10/2010,1892.34
9/13/2010,1921.67
9/14/2010,1928.59
9/15/2010,1939.6
9/16/2010,1948.11
9/17/2010,1955.83
9/20/2010,1989.43
9/21/2010,1989.11
9/22/2010,1982.76
9/23/2010,1982.15
9/24/2010,2023.84
9/27/2010,2010.99
9/28/2010,2012.43
9/29/2010,2009.08
9/30/2010,1998.04
10/1/2010,1996.6
10/4/2010,1975.33
10/5/2010,2024.63
10/6/2010,2006.52
10/7/2010,2011.63
10/8/2010,2027.03
10/11/2010,2026.98
10/12/2010,2041.55
10/13/2010,2057.25
10/14/2010,2054.51
10/15/2010,2097.73
10/18/2010,2104.15
10/19/2010,2069.73
10/20/2010,2085.75
10/21/2010,2090.1
10/22/2010,2104.21
10/25/2010,2113.55
10/26/2010,2119.05
10/27/2010,2125.88
10/28/2010,2129.73
10/29/2010,2124.45
11/1/2010,2128.42
11/2/2010,2151.72
11/3/2010,2158.36
11/4/2010,2187.8
11/5/2010,2186.71
11/8/2010,2188.94
11/9/2010,2176.88
11/10/2010,2187.74
11/11/2010,2173.11
11/12/2010,2137.95
11/15/2010,2131.48
11/16/2010,2093.63
11/17/2010,2100
11/18/2010,2134.77
11/19/2010,2135.27
11/22/2010,2150.86
11/23/2010,2116.61
11/24/2010,2160.52
11/25/2010,.
11/26/2010,2153.91
11/29/2010,2144.56
11/30/2010,2117.33
12/1/2010,2162.83
12/2/2010,2185.3
12/3/2010,2191.17
12/6/2010,2189.81
12/7/2010,2189.35
12/8/2010,2200.6
12/9/2010,2201.57
12/10/2010,2215.34
12/13/2010,2207.45
12/14/2010,2212.59
12/15/2010,2202.45
12/16/2010,2218.02
12/17/2010,2218.29
12/20/2010,2223.04
12/21/2010,2234.57
12/22/2010,2235.91
12/23/2010,2230.27
12/24/2010,.
12/27/2010,2229.86
12/28/2010,2227.42
12/29/2010,2231.64
12/30/2010,2225.72
12/31/2010,2217.86
1/3/2011,2254.23
1/4/2011,2251.46
1/5/2011,2270.4
1/6/2011,2277.51
1/7/2011,2276.7
1/10/2011,2284.38
1/11/2011,2288.73
1/12/2011,2304.88
1/13/2011,2305.53
1/14/2011,2323.43
1/17/2011,.
1/18/2011,2328.79
1/19/2011,2303.32
1/20/2011,2286.08
1/21/2011,2268.32
1/24/2011,2300.39
1/25/2011,2304.03
1/26/2011,2314.19
1/27/2011,2330.07
1/28/2011,2270.51
1/31/2011,2281.91
2/1/2011,2324.95
2/2/2011,2321.09
2/3/2011,2323.07
2/4/2011,2338.2
2/7/2011,2349.2
2/8/2011,2363.61
2/9/2011,2360.95
2/10/2011,2364.35
2/11/2011,2379.15
2/14/2011,2385.6
2/15/2011,2381.92
2/16/2011,2397.94
2/17/2011,2397.57
2/18/2011,2392.47
2/21/2011,.
2/22/2011,2322.86
2/23/2011,2300.94
2/24/2011,2313.31
2/25/2011,2346.29
2/28/2011,2350.99
3/1/2011,2315.26
3/2/2011,2326.77
3/3/2011,2371.76
3/4/2011,2359.96
3/7/2011,2328.07
3/8/2011,2337.55
3/9/2011,2322.69
3/10/2011,2284.29
3/11/2011,2299.26
3/14/2011,2290.72
3/15/2011,2259.62
3/16/2011,2202.97
3/17/2011,2225.24
3/18/2011,2221.07
3/21/2011,2262.7
3/22/2011,2257.96
3/23/2011,2270.5
3/24/2011,2312.09
3/25/2011,2316.36
3/28/2011,2303.1
3/29/2011,2325.54
3/30/2011,2336.52
3/31/2011,2338.99
4/1/2011,2342.92
4/4/2011,2334.54
4/5/2011,2327.87
4/6/2011,2332.34
4/7/2011,2332.88
4/8/2011,2321.18
4/11/2011,2314.5
4/12/2011,2298.3
4/13/2011,2316.63
4/14/2011,2311.25
4/15/2011,2307.58
4/18/2011,2292.34
4/19/2011,2306.77
4/20/2011,2357.76
4/21/2011,2377.3
4/22/2011,.
4/25/2011,2383.72
4/26/2011,2396.03
4/27/2011,2413.59
4/28/2011,2409.9
4/29/2011,2404.08
5/2/2011,2404.24
5/3/2011,2392.8
5/4/2011,2387.51
5/5/2011,2375.21
5/6/2011,2383.18
5/9/2011,2390.97
5/10/2011,2411.35
5/11/2011,2393.08
5/12/2011,2407.89
5/13/2011,2379.24
5/16/2011,2337.85
5/17/2011,2343.51
5/18/2011,2362.95
5/19/2011,2369.67
5/20/2011,2351.43
5/23/2011,2316.78
5/24/2011,2303.55
5/25/2011,2310.95
5/26/2011,2325.93
5/27/2011,2336.09
5/30/2011,.
5/31/2011,2372.54
6/1/2011,2322.48
6/2/2011,2326.7
6/3/2011,2292.31
6/6/2011,2274.48
6/7/2011,2268.96
6/8/2011,2252.89
6/9/2011,2256.65
6/10/2011,2221.09
6/13/2011,2222.28
6/14/2011,2250.34
6/15/2011,2209.01
6/16/2011,2199.93
6/17/2011,2192.96
6/20/2011,2204.36
6/21/2011,2251.82
6/22/2011,2235.75
6/23/2011,2255.05
6/24/2011,2217.06
6/27/2011,2252.24
6/28/2011,2285.75
6/29/2011,2294.43
6/30/2011,2325.07
7/1/2011,2361.39
7/4/2011,.
7/5/2011,2371.21
7/6/2011,2378.58
7/7/2011,2412.89
7/8/2011,2405.89
7/11/2011,2362
7/12/2011,2343.79
7/13/2011,2352.43
7/14/2011,2325.06
7/15/2011,2356.67
7/18/2011,2344.01
7/19/2011,2398.17
7/20/2011,2387.8
7/21/2011,2404.24
7/22/2011,2429.5
7/25/2011,2424.15
7/26/2011,2429.45
7/27/2011,2367.16
7/28/2011,2371.77
7/29/2011,2362.81
8/1/2011,2354.05
8/2/2011,2292.85
8/3/2011,2312.78
8/4/2011,2207.2
8/5/2011,2194.38
8/8/2011,2060.29
8/9/2011,2160.79
8/10/2011,2073.09
8/11/2011,2167.07
8/12/2011,2182.05
8/15/2011,2214.12
8/16/2011,2194.27
8/17/2011,2181.62
8/18/2011,2073.03
8/19/2011,2038.22
8/22/2011,2044.73
8/23/2011,2129.27
8/24/2011,2145.04
