date,m1_supply,gdp,fed_funds_rate,fed_bal,gov_debt,velocity_money,nasdaq100,btc_price,housing_index,commod_index,energy_index,cpi_index,unit_labor,personal_savings,personal_expenses,rent_prim_res
2014-02,2724.7,17250.421666666665,0.07,4109285.0,17611686.666666668,6.331126974223462,3440.5,,333.76,169.350272659741,233.574505017621,235.547,103.19166666666666,881.5366666666666,11615.4,272.733
2014-03,2751.4,17356.562333333335,0.08,4171762.0,17622146.333333332,6.308265731385235,3668.37,,335.90000000000003,168.62977360677,227.200770414853,236.028,102.71733333333333,902.6703333333334,11695.2,273.486
2014-04,2773.2,17462.703,0.09,4236441.0,17632606.0,6.296950454348767,3658.4,,338.04,170.105532955183,229.025754826052,236.468,102.243,923.804,11737.4,274.1
2014-05,2791.3,17556.211,0.09,4303143.0,17696427.666666668,6.2896180990936115,3594.36,,339.67333333333335,168.070779566853,229.448481461139,236.918,102.16566666666667,932.774,11778.6,274.71
2014-06,2827.1,17649.719,0.1,4330917.0,17760249.333333332,6.243047292278307,3732.96,,341.3066666666667,168.351310351098,233.603396624537,237.231,102.08833333333332,941.744,11838.0,275.321
2014-07,2843.0,17743.227,0.09,4377031.0,17824071.0,6.241022511431586,3894.33,,342.94,164.797642103171,225.162905183716,237.498,102.011,950.714,11879.2,276.248
2014-08,2804.2,17779.664666666667,0.09,4410111.0,17929862.0,6.340369683569884,3879.67,,343.86333333333334,159.253727420342,216.431550059979,237.46,102.554,963.3896666666667,11958.8,277.048
2014-09,2865.2,17816.102333333332,0.09,4415587.0,18035653.0,6.21810077248825,3932.205,,344.78666666666663,154.167918007637,209.128667563681,237.477,103.097,976.0653333333333,11964.9,277.998
2014-10,2870.7,17852.54,0.09,4450260.0,18141444.0,6.218880412442959,3984.74,,345.71,145.765382671243,191.532205264236,237.43,103.64,988.741,12035.5,278.985
2014-11,2888.8,17898.809333333335,0.09,4486585.0,18144981.333333332,6.195932336379581,4169.28,,346.9833333333333,139.118864477708,177.382124804231,236.983,103.80233333333334,1017.4643333333333,12058.4,280.123
2014-12,2940.9,17945.078666666668,0.12,4486190.0,18148518.666666668,6.101900325297245,4287.81,,348.25666666666666,125.92723660929,147.739732100836,236.252,103.96466666666666,1046.1876666666667,12067.6,280.874
2015-01,2941.3,17991.348,0.11,4499524.0,18152056.0,6.116801414340598,4238.200000000001,,349.53,113.974758439255,122.036323802349,234.747,104.127,1074.911,12036.5,281.572
2015-02,3005.4,18058.801,0.11,4500348.0,18152036.666666668,6.008784521195182,4188.59,,351.4233333333333,117.198881925442,133.647404465726,235.342,104.31066666666666,1059.1670000000001,12083.1,282.389
2015-03,2998.4,18126.254,0.11,4487583.0,18152017.333333332,6.045308831376734,4483.05,,353.31666666666666,113.248246566578,128.307725292163,235.976,104.49433333333333,1043.423,12132.2,283.13
2015-04,2999.2,18193.707,0.12,4481799.0,18151998.0,6.066186649773273,4311.26,,355.21,114.580373947608,130.528800262361,236.222,104.678,1027.679,12170.3,283.598
2015-05,2981.9,18231.458,0.12,4472703.0,18151538.0,6.114040712297528,4479.06,,356.89,118.119367498046,137.483493678026,237.001,104.81433333333334,1021.7560000000001,12233.6,284.245
2015-06,3020.9,18269.209,0.13,4465360.0,18151078.0,6.047604687344831,4521.85,,358.57,115.742643374841,134.156901538063,237.657,104.95066666666666,1015.833,12270.3,285.031
2015-07,3040.9,18306.96,0.13,4479130.0,18150618.0,6.020244006708539,4429.23,,360.25,109.327539142244,122.938901012481,238.034,105.087,1009.91,12327.5,286.09
2015-08,3029.0,18315.333,0.14,4486329.0,18407805.0,6.046659953780125,4580.46,,361.22333333333336,102.354659760561,109.227291781617,238.033,105.21000000000001,1015.5973333333333,12359.3,287.068
2015-09,3047.0,18323.706000000002,0.14,4475886.0,18664992.0,6.013687561535938,4142.63,,362.19666666666666,101.881826679377,109.025265965182,237.498,105.333,1021.2846666666667,12356.4,288.306
2015-10,3018.8,18332.079,0.12,4486185.0,18922179.0,6.07263780310057,4192.96,,363.17,102.040725243686,108.899219049416,237.733,105.456,1026.972,12362.3,289.428
2015-11,3082.3,18363.15466666667,0.12,4489702.0,19036432.333333332,5.95761433561518,4703.92,,364.2866666666667,96.0093230576381,101.266141873884,238.017,105.36733333333333,1033.372,12397.5,290.322
2015-12,3095.8,18394.230333333333,0.24,4478069.0,19150685.666666668,5.941672696341279,4716.16,,365.4033333333333,90.5728796066738,90.2679848842885,237.761,105.27866666666667,1039.772,12432.8,291.204
2016-01,3096.9,18425.306,0.34,4486606.0,19264939.0,5.949596693467662,4501.360000000001,,366.52,85.2731849371398,77.6354685322573,237.652,105.19,1046.172,12452.1,292.004
2016-02,3128.8,18487.409666666666,0.38,4483495.0,19303823.0,5.908786009545725,4286.56,,368.81,87.0150888635958,77.7887428262812,237.336,105.31333333333333,1020.6596666666667,12526.3,292.777
2016-03,3154.0,18549.513333333332,0.36,4478485.0,19342707.0,5.881266117099979,4333.61,,371.09999999999997,93.5966567628088,87.6656184920498,238.08,105.43666666666667,995.1473333333333,12506.8,293.489
2016-04,3198.5,18611.617,0.37,4484069.0,19381591.0,5.8188579021416285,4532.08,,373.39,96.9279430586823,92.5437288917509,238.992,105.56,969.635,12586.0,294.175
2016-05,3237.6,18666.231,0.37,4477270.0,19445542.333333332,5.765453113417347,4381.3,,375.6033333333333,100.832288233466,101.483666634806,239.557,105.56766666666667,966.8293333333334,12624.4,295.036
2016-06,3246.1,18720.844999999998,0.38,4461393.0,19509493.666666668,5.767180616740087,4520.07,,377.81666666666666,103.515057896825,106.692990860292,240.222,105.57533333333333,964.0236666666666,12701.7,295.902
2016-07,3246.0,18775.459,0.39,4470605.0,19573445.0,5.784183302526186,4437.44,,380.03,102.794468094437,101.772659015326,240.101,105.583,961.218,12720.6,296.862
2016-08,3319.3,18839.653,0.4,4466793.0,19707905.666666668,5.6757909800259085,4756.04,,381.02,103.156242149091,103.376309915595,240.545,105.75933333333333,965.5853333333333,12749.8,297.916
2016-09,3327.7,18903.847,0.4,4459394.0,19842366.333333332,5.680754575232143,4783.94,,382.01,103.17943979476,104.633556078718,241.176,105.93566666666666,969.9526666666667,12806.8,298.962
2016-10,3333.4,18968.041,0.4,4459407.0,19976827.0,5.690298494030119,4866.62,,383.0,106.720403357688,115.260960292251,241.741,106.112,974.32,12828.1,300.4
2016-11,3355.0,19028.092,0.41,4453087.0,19933358.0,5.671562444113264,4766.94,,383.93666666666667,105.525639224854,108.444292816484,242.026,106.45033333333333,992.9953333333334,12853.6,301.587
2016-12,3340.9,19088.143,0.54,4448618.0,19889889.0,5.713473315573648,4734.1,,384.87333333333333,111.463587626653,122.702005644189,242.637,106.78866666666666,1011.6706666666666,12962.9,302.735
2017-01,3391.2,19148.194,0.65,4453101.0,19846420.0,5.646436069827789,4943.395,,385.81,115.704869800857,127.826696489188,243.618,107.127,1030.346,13020.4,303.467
2017-02,3402.7,19200.298,0.66,4453881.0,19845798.0,5.642665530314162,5152.69,,388.69,116.331460765317,125.617606834217,244.006,107.37433333333333,1058.2236666666668,13038.6,304.211
2017-03,3450.5,19252.402000000002,0.79,4458018.0,19845176.0,5.57959773945805,5390.99,,391.57,110.842228738389,115.772553832653,243.892,107.62166666666667,1086.1013333333333,13089.3,304.868
2017-04,3451.2,19304.506,0.9,4474634.0,19844554.0,5.593563398238294,5432.2,,394.45,111.112790999156,119.225759330065,244.193,107.869,1113.979,13114.1,305.477
2017-05,3516.1,19390.302666666666,0.91,4471246.0,19978002.666666668,5.51471876984917,5629.63,,396.47666666666663,108.927676016284,114.46223948284,244.004,107.97666666666666,1115.654,13117.6,306.379
2017-06,3524.9,19476.099333333335,1.04,4462443.0,20111451.333333332,5.525291308500478,5816.51,,398.50333333333333,105.675238726499,107.906362641047,244.163,108.08433333333333,1117.329,13170.3,307.314
2017-07,3548.6,19561.896,1.15,4467272.0,20244900.0,5.512567209603787,5596.96,,400.53,108.228429724116,111.27206475027,244.243,108.192,1119.004,13193.5,308.173
2017-08,3587.8,19672.847333333335,1.16,4466846.0,20327515.666666668,5.483261980415111,5895.17,,401.6433333333333,111.044240889913,117.624086183498,245.183,108.50933333333333,1089.9083333333333,13234.1,309.479
2017-09,3571.2,19783.798666666666,1.15,4453474.0,20410131.333333332,5.539818175029868,5987.9,,402.75666666666666,114.09346486128,125.572515892763,246.435,108.82666666666667,1060.8126666666667,13353.4,310.268
